,White_Name,White_Age,White_Rating,White_Title,Black_Name,Black_Age,Black_Rating,Black_Title,Result_White,White_Age_Squared,White_Rating_Squared,White_Age_Rating_CP,Black_Age_Squared,Black_Rating_Squared,Black_Age_Rating_CP
243,"Sarana,Alexey",3.833333333,7.908333333,GM,"Bilguun,Sumiya",4.333333333,6.45,GM,1,14.69444444,62.54173611,30.31527778,18.77777778,41.6025,27.95
244,"IturrizagaBonelli,Eduardo",5.666666667,7.791666667,GM,"Pranav,V",2.833333333,6.433333333,GM,0.5,32.11111111,60.71006944,44.15277778,8.027777778,41.38777778,18.22777778
245,"Madaminov,Mukhiddin",2.833333333,5.958333333,IM,"Martirosyan,HaikM.",3.833333333,7.783333333,GM,0.5,8.027777778,35.50173611,16.88194444,14.69444444,60.58027778,29.83611111
246,"Guseinov,Gadir",6.166666667,7.758333333,GM,"Terry,Renato",5.166666667,6.425,IM,0,38.02777778,60.19173611,47.84305556,26.69444444,41.280625,33.19583333
247,"Nigmatov,Ortik",3.833333333,5.816666667,IM,"Keymer,Vincent",3.166666667,7.758333333,GM,0,14.69444444,33.83361111,22.29722222,10.02777778,60.19173611,24.56805556
248,"Niemann,HansMoke",3.333333333,7.55,GM,"Grebnev,Aleksey",2.833333333,6.341666667,IM,0.5,11.11111111,57.0025,25.16666667,8.027777778,40.21673611,17.96805556
249,"Chanda,Sandipan",6.666666667,7.516666667,GM,"Nogerbek,Kazybek",3.166666667,6.216666667,IM,1,44.44444444,56.50027778,50.11111111,10.02777778,38.64694444,19.68611111
250,"Pingin,Artem",2.5,5.783333333,IM,"Korobov,Anton",6.333333333,7.508333333,GM,0.5,6.25,33.44694444,14.45833333,40.11111111,56.37506944,47.55277778
251,"Sargsyan,Shant",3.5,7.425,GM,"Mitrabha,Guha",3.666666667,6.133333333,GM,0.5,12.25,55.130625,25.9875,13.44444444,37.61777778,22.48888889
252,"Agmanov,Zhandos",3.833333333,5.691666667,IM,"HenriquezVillagra,Cristobal",4.5,7.416666667,GM,0,14.69444444,32.39506944,21.81805556,20.25,55.00694444,33.375
253,"Hovhannisyan,Robert",5.333333333,7.408333333,GM,"Gaehwiler,Gabriel",4.833333333,5.7,IM,1,28.44444444,54.88340278,39.51111111,23.36111111,32.49,27.55
254,"Paravyan,David",4.166666667,7.366666667,GM,"Tissir,Mohamed",7.833333333,5.483333333,IM,1,17.36111111,54.26777778,30.69444444,61.36111111,30.06694444,42.95277778
255,"Uskov,Artem",2.166666667,5.633333333,IM,"Najer,Evgeniy",7.666666667,7.325,GM,0,4.694444444,31.73444444,12.20555556,58.77777778,53.655625,56.15833333
256,"Vetokhin,Savva",2.333333333,5.633333333,IM,"Petrosyan,Manuel",4.166666667,7.175,GM,0.5,5.444444444,31.73444444,13.14444444,17.36111111,51.480625,29.89583333
257,"Savchenko,Boris",6.166666667,7.166666667,GM,"Abdisalimov,Abdimalik",3.5,5.25,GM,1,38.02777778,51.36111111,44.19444444,12.25,27.5625,18.375
258,"Tsaruk,Maksim",3,5.533333333,FM,"Quparadze,Giga",6,7.158333333,GM,0,9,30.61777778,16.6,36,51.24173611,42.95
259,"Leiva,Gianmarco",4.666666667,5.425,IM,"Indjic,Aleksandar",4.666666667,7.1,GM,0,21.77777778,29.430625,25.31666667,21.77777778,50.41,33.13333333
260,"Fayzullaev,Akmal",5.333333333,4.941666667,IM,"Dardha,Daniel",3,7.025,GM,0,28.44444444,24.42006944,26.35555556,9,49.350625,21.075
261,"Markov,Mikhail",5.666666667,4.716666667,IM,"Hong,Andrew",3.166666667,6.991666667,GM,1,32.11111111,22.24694444,26.72777778,10.02777778,48.88340278,22.14027778
262,"Pantsulaia,Levan",6.166666667,6.983333333,GM,"Saydaliev,Saidakbar",3.666666667,5.133333333,IM,1,38.02777778,48.76694444,43.06388889,13.44444444,26.35111111,18.82222222
263,"Abdurakhmonov,Mukhammadali",3.5,4.466666667,IM,"Urazayev,Arystanbek",4.166666667,6.95,IM,1,12.25,19.95111111,15.63333333,17.36111111,48.3025,28.95833333
264,"Kovalev,Vladislav",4.833333333,6.933333333,GM,"Haldorsen,Benjamin",4,5.008333333,IM,1,23.36111111,48.07111111,33.51111111,16,25.08340278,20.03333333
265,"Vakhidov,Jakhongir",4.666666667,6.891666667,GM,"Sapenov,Daniyal",2.5,4.875,FM,1,21.77777778,47.49506944,32.16111111,6.25,23.765625,12.1875
266,"Oro,Faustino",1.666666667,3.75,FM,"Vokhidov,Shamsiddin",3.5,6.891666667,GM,0.5,2.777777778,14.0625,6.25,12.25,47.49506944,24.12083333
267,"Sanal,Vahap",4.166666667,6.883333333,GM,"Zverev,Lev",2.166666667,4.741666667,FM,0.5,17.36111111,47.38027778,28.68055556,4.694444444,22.48340278,10.27361111
268,"Chinguun,Sumiya",3,3.583333333,FM,"Idani,Pouya",4.666666667,6.8,GM,0,9,12.84027778,10.75,21.77777778,46.24,31.73333333
269,"Bocharov,Dmitry",6.833333333,6.791666667,GM,"Turayev,Shahruh",4.833333333,4.033333333,Untitled,1,46.69444444,46.12673611,46.40972222,23.36111111,16.26777778,19.49444444
270,"Makhnev,Denis",3.833333333,6.7,GM,"Vakhidov,Daler",3.5,3.416666667,FM,1,14.69444444,44.89,25.68333333,12.25,11.67361111,11.95833333
271,"Akhmedov,David",2.166666667,3.325,Untitled,"Riazantsev,Alexander",6.333333333,6.7,GM,0,4.694444444,11.055625,7.204166667,40.11111111,44.89,42.43333333
272,"Asadli,Vugar",3.666666667,6.658333333,GM,"Sklokin,Sergey",1.666666667,2.05,Untitled,1,13.44444444,44.33340278,24.41388889,2.777777778,4.2025,3.416666667
273,"Kuandykuly,Danis",1.666666667,0.458333333,Untitled,"Vrolijk,Liam",3.5,6.65,GM,0,2.777777778,0.210069444,0.763888889,12.25,44.2225,23.275
274,"Suleymenov,Alisher",3.833333333,6.216666667,GM,"Gukesh,D",2.833333333,7.966666667,GM,0,14.69444444,38.64694444,23.83055556,8.027777778,63.46777778,22.57222222
275,"Gharibyan,Mamikon",3.166666667,6.058333333,GM,"Ganguly,SuryaShekhar",6.666666667,7.875,GM,0,10.02777778,36.70340278,19.18472222,44.44444444,62.015625,52.5
276,"Nasuta,Grzegorz",4.5,5.85,GM,"Adhiban,B.",5.166666667,6.9,GM,0,20.25,34.2225,26.325,26.69444444,47.61,35.65
277,"Suleymanli,Aydin",3,6.808333333,GM,"Karthik,Venkataraman",4,6.05,GM,1,9,46.35340278,20.425,16,36.6025,24.2
278,"Ohanyan,Emin",2.833333333,5.016666667,IM,"Petrov,Nikita",4.5,6.741666667,GM,0,8.027777778,25.16694444,14.21388889,20.25,45.45006944,30.3375
279,"Bryakin,Mikhail",4.333333333,6.733333333,GM,"Drazic,Sinisa",9.333333333,5.933333333,GM,1,18.77777778,45.33777778,29.17777778,87.11111111,35.20444444,55.37777778
280,"Garayev,Kanan",3.5,4.833333333,IM,"Khismatullin,Denis",6.5,6.725,GM,0,12.25,23.36111111,16.91666667,42.25,45.225625,43.7125
281,"Zeng,Chongsheng",5,6.675,GM,"Aditya,Mittal",2.833333333,5.675,GM,1,25,44.555625,33.375,8.027777778,32.205625,16.07916667
282,"Khusenkhojaev,Mustafokhuja",4.166666667,4.208333333,FM,"Jumabayev,Rinat",5.666666667,6.666666667,GM,0,17.36111111,17.71006944,17.53472222,32.11111111,44.44444444,37.77777778
283,"Smirnov,Anton",3.666666667,6.55,GM,"Orozbaev,Eldiar",2.833333333,4.95,FM,1,13.44444444,42.9025,24.01666667,8.027777778,24.5025,14.025
284,"Amar,Elham",3,6.458333333,IM,"Kakabayev,Mergen",4.333333333,4.641666667,FM,0,9,41.71006944,19.375,18.77777778,21.54506944,20.11388889
285,"Zilka,Stepan",5.833333333,6.45,GM,"Bakhrillaev,Bakhrom",2.5,4.133333333,FM,0.5,34.02777778,41.6025,37.625,6.25,17.08444444,10.33333333
286,"Rakhmatullaev,Almas",2.833333333,4.591666667,IM,"Muradli,Mahammad",3.333333333,6.258333333,GM,0,8.027777778,21.08340278,13.00972222,11.11111111,39.16673611,20.86111111
